Internal ID,Date Created in NetSuite,Type,Item name/SKU#,Description,Inactive,Base Price,Product Category,Class (no hierarchy),Shelf Life (Months),Weight,Length,Width,Height,Available,Total Quantity On Hand,Storage Temperature,Shipping Temperature,Safety Stock Level,Quantity Pricing Schedule,Primary Stock Unit,Primary Sale Unit,Special Work Order Item,OEM Item
3971,6/22/2020 13:06,Non-inventory Item,05-754Q,,No,,,,,,,,,,,,Room Temperature,,,,,,
3972,6/22/2020 13:06,Non-inventory Item,05-769-6Q,,No,,,,,,,,,,,,Room Temperature,,,,,,
13980,3/31/2021 11:22,Non-inventory Item,05404119,,No,,,,,,,,,,,,Room Temperature,,,,,,
16955,6/29/2022 16:44,Non-inventory Item,06508-15,,No,,,,,,,,,,,,Room Temperature,,,,,,
14555,7/23/2021 11:59,Non-inventory Item,06508-16,,No,,,,,,,,,,,Room Temperature,Room Temperature,,,,,,
3973,6/22/2020 13:06,Non-inventory Item,06508-25,,No,,,,,,,,,,,,Room Temperature,,,,,,
3974,6/22/2020 13:06,Non-inventory Item,06508-82,,No,,,,,,,,,,,,Room Temperature,,,,,,
3975,6/22/2020 13:06,Non-inventory Item,07522-20,,No,,,,,,,,,,,,Room Temperature,,,,,,
3976,6/22/2020 13:06,Non-inventory Item,07557-90,,No,,,,,,,,,,,,Room Temperature,,,,,,
20431,3/12/2024 9:10,Non-inventory Item,1008B001AA,,No,,Paper Goods,Manufacturing,,,,,,,,,Room Temperature,,,,,,
14806,9/10/2021 13:12,Assembly,104427,Plasmid Resuspension Buffer (B1) (20L),No,692,Components,Plasmid,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14809,9/10/2021 13:26,Assembly,104428,Plasmid Lysis Buffer (B2) (20L),No,508,Components,Plasmid,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14812,9/10/2021 13:32,Assembly,104429,Plasmid Neutralization Buffer (B3) (20L),No,1628,Components,Plasmid,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14815,9/10/2021 13:36,Assembly,104430,Plasmid Wash Buffer 1 (20L),No,1694,Components,Plasmid,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14818,9/10/2021 13:40,Assembly,104431,Plasmid Wash Buffer 2 (20L),No,1014,Components,Plasmid,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14821,9/10/2021 13:59,Assembly,104432,DNA Elution Buffer (20L),No,1014,Components,Clean-Up,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14824,9/10/2021 14:07,Assembly,104433,Gel Dissolving Buffer (20L),No,2558,Components,Clean-Up,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14827,9/10/2021 14:14,Assembly,104434,DNA Binding Buffer w/o Isopropanol (20L),No,2558,Components,Clean-Up,,,,,,,1,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14830,9/10/2021 14:22,Assembly,104435,DNA Wash Buffer (20L),No,1434,Components,Clean-Up,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14833,9/10/2021 14:27,Assembly,104456,Proteinase K Resuspension Buffer (20L),No,412,Components,Enzymes,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14836,9/10/2021 14:43,Assembly,104457,Proteinase K Reaction Buffer (20L),No,414,Components,Enzymes,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14839,9/10/2021 14:45,Assembly,104458,DNase I Reaction Buffer (20L),No,414,Components,RNA,,,,,,,1,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14842,9/10/2021 14:51,Assembly,104459,Nuclease-Free Water (20L),No,456,Components,DNA/RNA,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14845,9/10/2021 14:53,Assembly,104460,DNA/RNA Protection Reagent (20L),No,29920,Components,Quick-RNA,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14849,9/10/2021 15:01,Assembly,104461,RNA Lysis Buffer (20L),No,14960,Components,Quick-RNA,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14851,9/10/2021 15:03,Assembly,104462,RNA Priming Buffer (20L),No,5000,Components,Purification,,,,,,,1,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14854,9/10/2021 15:21,Assembly,104463,RNA Wash Buffer (20L),No,806,Components,RNA,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14807,9/10/2021 13:16,Assembly,104589,Plasmid Resuspension Buffer (B1) (1L),No,34.6,Components,Plasmid,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14808,9/10/2021 13:24,Assembly,104590,Plasmid Resuspension Buffer (B1) (10 ml),No,17.3,Components,Plasmid,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14810,9/10/2021 13:27,Assembly,104591,Plasmid Lysis Buffer (B2) (1L),No,25.4,Components,Plasmid,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
14811,9/10/2021 13:28,Assembly,104593,Plasmid Lysis Buffer (B2) (10 ml),No,12.7,Components,Plasmid,,,,,,,,Room Temperature,Room Temperature,,,Each,Each,No,Yes
