Product_ID,Display Name,OEM & Custom,Product Line,Sub-Product Line,Kits,Sample,Class,Description,Category,Business (no hierarchy),Sample Item,Class_All,Class Level 1,Class Level 2,Class Level 3,Class Level 4,OEM Item,Type,Department,Custom Item
104460,DNA/RNA Protection Reagent (20L),OEM,Not Specified,Not Specified,0,0,RNA: Purification,DNA/RNA Protection Reagent (20L),Components,,No,RNA : Purification : Quick-RNA,RNA,Purification,Quick-RNA,,Yes,Assembly,R&D RNA Purification,No
104461,RNA Lysis Buffer (20L),OEM,Not Specified,Not Specified,0,0,RNA: Purification,RNA Lysis Buffer (20L),Components,,No,RNA : Purification : Quick-RNA,RNA,Purification,Quick-RNA,,Yes,Assembly,R&D RNA Purification,No
104462,RNA Priming Buffer (20L),OEM,Not Specified,Not Specified,0,0,RNA: Purification,RNA Priming Buffer (20L),Components,,No,RNA : Purification,RNA,Purification,,,Yes,Assembly,R&D RNA Purification,No
104463,RNA Wash Buffer (20L),OEM,Not Specified,Not Specified,0,0,RNA,RNA Wash Buffer (20L),Components,,No,RNA,RNA,,,,Yes,Assembly,R&D RNA Purification,No
104631,RNA Lysis Buffer (1L),OEM,Not Specified,Not Specified,0,0,RNA: Purification,RNA Lysis Buffer (1L),Components,,No,RNA : Purification : Quick-RNA,RNA,Purification,Quick-RNA,,Yes,Assembly,R&D RNA Purification,No
104632,RNA Lysis Buffer (25 ml),OEM,Not Specified,Not Specified,0,0,RNA: Purification,RNA Lysis Buffer (25 ml),Components,,No,RNA : Purification : Quick-RNA,RNA,Purification,Quick-RNA,,Yes,Assembly,R&D RNA Purification,No
104633,RNA Priming Buffer (1L),OEM,Not Specified,Not Specified,0,0,RNA: Purification,RNA Priming Buffer (1L),Components,,No,RNA : Purification,RNA,Purification,,,Yes,Assembly,R&D RNA Purification,No
104634,RNA Priming Buffer (25 ml),OEM,Not Specified,Not Specified,0,0,RNA: Purification,RNA Priming Buffer (25 ml),Components,,No,RNA : Purification,RNA,Purification,,,Yes,Assembly,R&D RNA Purification,No
104635,RNA Wash Buffer (1L),OEM,Not Specified,Not Specified,0,0,RNA,RNA Wash Buffer (1L),Components,,No,RNA,RNA,,,,Yes,Assembly,R&D RNA Purification,No
104636,RNA Wash Buffer (25 ml),OEM,Not Specified,Not Specified,0,0,RNA,RNA Wash Buffer (25 ml),Components,,No,RNA,RNA,,,,Yes,Assembly,R&D RNA Purification,No
B-D3007-01,Index 1 Primers (2.5 µM each),,Not Specified,Not Specified,0,0,RNA: RNA Analysis,Index 1 Primers (2.5 µM each),Bulk Buffers,,No,RNA : RNA Analysis : Library Prep : miRNA,RNA,RNA Analysis,Library Prep,miRNA,No,Assembly,R&D - DNA Purification,No
B-D3007-02,Index 2 Primers (2.5 µM each),,Not Specified,Not Specified,0,0,RNA: RNA Analysis,Index 2 Primers (2.5 µM each),Bulk Buffers,,No,RNA : RNA Analysis : Library Prep : miRNA,RNA,RNA Analysis,Library Prep,miRNA,No,Assembly,R&D - DNA Purification,No
B-D3007-04,Index 4 Primers (2.5 µM each),,Not Specified,Not Specified,0,0,RNA: RNA Analysis,Index 4 Primers (2.5 µM each),Bulk Buffers,,No,RNA : RNA Analysis : Library Prep : miRNA,RNA,RNA Analysis,Library Prep,miRNA,No,Assembly,R&D - DNA Purification,No
B-D3007-05,Index 5 Primers (2.5 µM each),,Not Specified,Not Specified,0,0,RNA: RNA Analysis,Index 5 Primers (2.5 µM each),Bulk Buffers,,No,RNA : RNA Analysis : Library Prep : miRNA,RNA,RNA Analysis,Library Prep,miRNA,No,Assembly,R&D - DNA Purification,No
B-D3007-06,Index 6 Primers (2.5 µM each),,Not Specified,Not Specified,0,0,RNA: RNA Analysis,Index 6 Primers (2.5 µM each),Bulk Buffers,,No,RNA : RNA Analysis : Library Prep : miRNA,RNA,RNA Analysis,Library Prep,miRNA,No,Assembly,R&D - DNA Purification,No
B-D3007-07,Index 7 Primers (2.5 µM each),,Not Specified,Not Specified,0,0,RNA: RNA Analysis,Index 7 Primers (2.5 µM each),Bulk Buffers,,No,RNA : RNA Analysis : Library Prep : miRNA,RNA,RNA Analysis,Library Prep,miRNA,No,Assembly,R&D - DNA Purification,No
B-D3007-12,Index 12 Primers (2.5 µM each),,Not Specified,Not Specified,0,0,RNA: RNA Analysis,Index 12 Primers (2.5 µM each),Bulk Buffers,,No,RNA : RNA Analysis : Library Prep : miRNA,RNA,RNA Analysis,Library Prep,miRNA,No,Assembly,R&D - DNA Purification,No
B-D3007-CDI,CD Index Primers (2.5 µM each),,Not Specified,Not Specified,0,0,RNA: RNA Analysis,CD Index Primers (2.5 µM each),Bulk Buffers,,No,RNA : RNA Analysis : Library Prep : miRNA,RNA,RNA Analysis,Library Prep,miRNA,No,Assembly,R&D - DNA Purification,No
B-D3008,Zymo-Seq UDI Index Primers,,Not Specified,Not Specified,0,0,RNA: RNA Analysis,Zymo-Seq UDI Index Primers,Bulk Buffers,,No,RNA : RNA Analysis : Library Prep,RNA,RNA Analysis,Library Prep,,No,Assembly,R&D - DNA Purification,No
B-D3008-UDI-01,Zymo-Seq UDI-01 Primers (2.5 uM ea),,Not Specified,Not Specified,0,0,RNA: RNA Analysis,Zymo-Seq UDI-01 Primers (2.5 uM ea) ,Bulk Buffers,,No,RNA : RNA Analysis : Library Prep,RNA,RNA Analysis,Library Prep,,No,Assembly,RNA Analysis,No
B-D3008-UDI-02,Zymo-Seq UDI-02 Primers (2.5 uM ea),,Not Specified,Not Specified,0,0,RNA: RNA Analysis,Zymo-Seq UDI-02 Primers (2.5 uM ea)  ,Bulk Buffers,,No,RNA : RNA Analysis : Library Prep,RNA,RNA Analysis,Library Prep,,No,Assembly,RNA Analysis,No
